#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	 135.96527	   0.00000	   0.00000	   3.30910	 275.23964	 331.41425
  0	 29	 135.74977	   0.00000	   0.00000	   3.30910	 274.80865	 330.05001
  0	 28	 135.52635	   0.00000	   0.00000	   3.30910	 274.36180	 328.69529
  0	 27	 135.29557	   0.00000	   0.00000	   3.30910	 273.90024	 327.35256
  0	 26	 135.05812	   0.00000	   0.00000	   3.30910	 273.42535	 326.02451
  0	 25	 134.81478	   0.00000	   0.00000	   3.30910	 272.93866	 324.71407
  0	 24	 134.56642	   0.00000	   0.00000	   3.30910	 272.44194	 323.42444
  0	 23	 134.31401	   0.00000	   0.00000	   3.30910	 271.93712	 322.15899
  0	 22	 134.05860	   0.00000	   0.00000	   3.30910	 271.42631	 320.92134
  0	 21	 133.80135	   0.00000	   0.00000	   3.30910	 270.91181	 319.71528
  0	 20	 133.54347	   0.00000	   0.00000	   3.30910	 270.39604	 318.54477
  0	 19	 133.28624	   0.00000	   0.00000	   3.30910	 269.88158	 317.41390
  0	 18	 133.03102	   0.00000	   0.00000	   3.30910	 269.37114	 316.32689
  0	 17	 132.77920	   0.00000	   0.00000	   3.30910	 268.86750	 315.28801
  0	 16	 132.53221	   0.00000	   0.00000	   3.30910	 268.37353	 314.30157
  0	 15	 132.29152	   0.00000	   0.00000	   3.30910	 267.89213	 313.37188
  0	 14	 132.05857	   0.00000	   0.00000	   3.30910	 267.42625	 312.50317
  0	 13	 131.83485	   0.00000	   0.00000	   3.30910	 266.97880	 311.69960
  0	 12	 131.62178	   0.00000	   0.00000	   3.30910	 266.55266	 310.96517
  0	 11	 131.42077	   0.00000	   0.00000	   3.30910	 266.15064	 310.30370
  0	 10	 131.23317	   0.00000	   0.00000	   3.30910	 265.77545	 309.71875
  0	  9	 131.06028	   0.00000	   0.00000	   3.30910	 265.42967	 309.21363
  0	  8	 130.90330	   0.00000	   0.00000	   3.30910	 265.11570	 308.79128
  0	  7	 130.76334	   0.00000	   0.00000	   3.30910	 264.83578	 308.45433
  0	  6	 130.64141	   0.00000	   0.00000	   3.30910	 264.59192	 308.20499
  0	  5	 130.53840	   0.00000	   0.00000	   3.30910	 264.38589	 308.04504
  0	  4	 130.45505	   0.00000	   0.00000	   3.30910	 264.21921	 307.97583
  0	  3	 130.39199	   0.00000	   0.00000	   3.30910	 264.09309	 307.99826
  0	  2	 130.34969	   0.00000	   0.00000	   3.30910	 264.00849	 308.11274
  0	  1	 130.32846	   0.00000	   0.00000	   3.30910	 263.96603	 308.31923

  1	 30	 135.74977	   0.00000	   0.00000	   3.30910	 274.80865	 329.82691
  1	 29	 135.51807	   0.00000	   0.00000	   3.30910	 274.34525	 328.41031
  1	 28	 135.27785	   0.00000	   0.00000	   3.30910	 273.86480	 327.00190
  1	 27	 135.02972	   0.00000	   0.00000	   3.30910	 273.36854	 325.60428
  1	 26	 134.77441	   0.00000	   0.00000	   3.30910	 272.85793	 324.22032
  1	 25	 134.51277	   0.00000	   0.00000	   3.30910	 272.33465	 322.85313
  1	 24	 134.24574	   0.00000	   0.00000	   3.30910	 271.80058	 321.50609
  1	 23	 133.97435	   0.00000	   0.00000	   3.30910	 271.25780	 320.18284
  1	 22	 133.69974	   0.00000	   0.00000	   3.30910	 270.70859	 318.88721
  1	 21	 133.42314	   0.00000	   0.00000	   3.30910	 270.15539	 317.62329
  1	 20	 133.14587	   0.00000	   0.00000	   3.30910	 269.60084	 316.39532
  1	 19	 132.86930	   0.00000	   0.00000	   3.30910	 269.04770	 315.20769
  1	 18	 132.59489	   0.00000	   0.00000	   3.30910	 268.49888	 314.06494
  1	 17	 132.32413	   0.00000	   0.00000	   3.30910	 267.95737	 312.97167
  1	 16	 132.05857	   0.00000	   0.00000	   3.30910	 267.42625	 311.93253
  1	 15	 131.79978	   0.00000	   0.00000	   3.30910	 266.90866	 310.95216
  1	 14	 131.54932	   0.00000	   0.00000	   3.30910	 266.40775	 310.03516
  1	 13	 131.30878	   0.00000	   0.00000	   3.30910	 265.92665	 309.18602
  1	 12	 131.07968	   0.00000	   0.00000	   3.30910	 265.46847	 308.40906
  1	 11	 130.86356	   0.00000	   0.00000	   3.30910	 265.03622	 307.70841
  1	 10	 130.66186	   0.00000	   0.00000	   3.30910	 264.63282	 307.08793
  1	  9	 130.47597	   0.00000	   0.00000	   3.30910	 264.26103	 306.55120
  1	  8	 130.30718	   0.00000	   0.00000	   3.30910	 263.92346	 306.10141
  1	  7	 130.15670	   0.00000	   0.00000	   3.30910	 263.62250	 305.74139
  1	  6	 130.02560	   0.00000	   0.00000	   3.30910	 263.36030	 305.47351
  1	  5	 129.91484	   0.00000	   0.00000	   3.30910	 263.13878	 305.29970
  1	  4	 129.82523	   0.00000	   0.00000	   3.30910	 262.95956	 305.22142
  1	  3	 129.75743	   0.00000	   0.00000	   3.30910	 262.82396	 305.23960
  1	  2	 129.71195	   0.00000	   0.00000	   3.30910	 262.73300	 305.35468
  1	  1	 129.68912	   0.00000	   0.00000	   3.30910	 262.68734	 305.56658

  2	 30	 135.52635	   0.00000	   0.00000	   3.30910	 274.36180	 328.24066
  2	 29	 135.27785	   0.00000	   0.00000	   3.30910	 273.86480	 326.76993
  2	 28	 135.02020	   0.00000	   0.00000	   3.30910	 273.34951	 325.30597
  2	 27	 134.75408	   0.00000	   0.00000	   3.30910	 272.81726	 323.85153
  2	 26	 134.48027	   0.00000	   0.00000	   3.30910	 272.26963	 322.40961
  2	 25	 134.19966	   0.00000	   0.00000	   3.30910	 271.70842	 320.98355
  2	 24	 133.91326	   0.00000	   0.00000	   3.30910	 271.13562	 319.57693
  2	 23	 133.62219	   0.00000	   0.00000	   3.30910	 270.55348	 318.19361
  2	 22	 133.32767	   0.00000	   0.00000	   3.30910	 269.96444	 316.83771
  2	 21	 133.03102	   0.00000	   0.00000	   3.30910	 269.37114	 315.51357
  2	 20	 132.73364	   0.00000	   0.00000	   3.30910	 268.77638	 314.22575
  2	 19	 132.43701	   0.00000	   0.00000	   3.30910	 268.18313	 312.97897
  2	 18	 132.14270	   0.00000	   0.00000	   3.30910	 267.59451	 311.77809
  2	 17	 131.85232	   0.00000	   0.00000	   3.30910	 267.01374	 310.62807
  2	 16	 131.56751	   0.00000	   0.00000	   3.30910	 266.44411	 309.53392
  2	 15	 131.28995	   0.00000	   0.00000	   3.30910	 265.88900	 308.50064
  2	 14	 131.02133	   0.00000	   0.00000	   3.30910	 265.35176	 307.53320
  2	 13	 130.76334	   0.00000	   0.00000	   3.30910	 264.83578	 306.63645
  2	 12	 130.51764	   0.00000	   0.00000	   3.30910	 264.34438	 305.81505
  2	 11	 130.28584	   0.00000	   0.00000	   3.30910	 263.88079	 305.07348
  2	 10	 130.06952	   0.00000	   0.00000	   3.30910	 263.44814	 304.41592
  2	  9	 129.87014	   0.00000	   0.00000	   3.30910	 263.04939	 303.84622
  2	  8	 129.68912	   0.00000	   0.00000	   3.30910	 262.68734	 303.36783
  2	  7	 129.52773	   0.00000	   0.00000	   3.30910	 262.36455	 302.98381
  2	  6	 129.38712	   0.00000	   0.00000	   3.30910	 262.08335	 302.69671
  2	  5	 129.26833	   0.00000	   0.00000	   3.30910	 261.84576	 302.50860
  2	  4	 129.17222	   0.00000	   0.00000	   3.30910	 261.65355	 302.42103
  2	  3	 129.09951	   0.00000	   0.00000	   3.30910	 261.50812	 302.43499
  2	  2	 129.05073	   0.00000	   0.00000	   3.30910	 261.41056	 302.55093
  2	  1	 129.02625	   0.00000	   0.00000	   3.30910	 261.36159	 302.76874

  3	 30	 135.29557	   0.00000	   0.00000	   3.30910	 273.90024	 326.65775
  3	 29	 135.02972	   0.00000	   0.00000	   3.30910	 273.36854	 325.13123
  3	 28	 134.75408	   0.00000	   0.00000	   3.30910	 272.81726	 323.60995
  3	 27	 134.46937	   0.00000	   0.00000	   3.30910	 272.24785	 322.09681
  3	 26	 134.17644	   0.00000	   0.00000	   3.30910	 271.66198	 320.59500
  3	 25	 133.87624	   0.00000	   0.00000	   3.30910	 271.06157	 319.10803
  3	 24	 133.56984	   0.00000	   0.00000	   3.30910	 270.44878	 317.63970
  3	 23	 133.25844	   0.00000	   0.00000	   3.30910	 269.82599	 316.19413
  3	 22	 132.94336	   0.00000	   0.00000	   3.30910	 269.19582	 314.77571
  3	 21	 132.62599	   0.00000	   0.00000	   3.30910	 268.56109	 313.38906
  3	 20	 132.30784	   0.00000	   0.00000	   3.30910	 267.92479	 312.03906
  3	 19	 131.99051	   0.00000	   0.00000	   3.30910	 267.29012	 310.73077
  3	 18	 131.67565	   0.00000	   0.00000	   3.30910	 266.66040	 309.46941
  3	 17	 131.36498	   0.00000	   0.00000	   3.30910	 266.03907	 308.26030
  3	 16	 131.06028	   0.00000	   0.00000	   3.30910	 265.42967	 307.10885
  3	 15	 130.76334	   0.00000	   0.00000	   3.30910	 264.83578	 306.02043
  3	 14	 130.47597	   0.00000	   0.00000	   3.30910	 264.26103	 305.00041
  3	 13	 130.19996	   0.00000	   0.00000	   3.30910	 263.70902	 304.05401
  3	 12	 129.93710	   0.00000	   0.00000	   3.30910	 263.18331	 303.18630
  3	 11	 129.68912	   0.00000	   0.00000	   3.30910	 262.68734	 302.40209
  3	 10	 129.45769	   0.00000	   0.00000	   3.30910	 262.22448	 301.70589
  3	  9	 129.24439	   0.00000	   0.00000	   3.30910	 261.79789	 301.10188
  3	  8	 129.05073	   0.00000	   0.00000	   3.30910	 261.41056	 300.59378
  3	  7	 128.87806	   0.00000	   0.00000	   3.30910	 261.06523	 300.18487
  3	  6	 128.72764	   0.00000	   0.00000	   3.30910	 260.76439	 299.87791
  3	  5	 128.60055	   0.00000	   0.00000	   3.30910	 260.51021	 299.67511
  3	  4	 128.49773	   0.00000	   0.00000	   3.30910	 260.30457	 299.57811
  3	  3	 128.41994	   0.00000	   0.00000	   3.30910	 260.14899	 299.58795
  3	  2	 128.36776	   0.00000	   0.00000	   3.30910	 260.04462	 299.70509
  3	  1	 128.34156	   0.00000	   0.00000	   3.30910	 259.99223	 299.92937

  4	 30	 135.05812	   0.00000	   0.00000	   3.30910	 273.42535	 325.08072
  4	 29	 134.77441	   0.00000	   0.00000	   3.30910	 272.85793	 323.49684
  4	 28	 134.48027	   0.00000	   0.00000	   3.30910	 272.26963	 321.91659
  4	 27	 134.17644	   0.00000	   0.00000	   3.30910	 271.66198	 320.34300
  4	 26	 133.86383	   0.00000	   0.00000	   3.30910	 271.03677	 318.77944
  4	 25	 133.54347	   0.00000	   0.00000	   3.30910	 270.39604	 317.22962
  4	 24	 133.21649	   0.00000	   0.00000	   3.30910	 269.74209	 315.69756
  4	 23	 132.88419	   0.00000	   0.00000	   3.30910	 269.07748	 314.18764
  4	 22	 132.54794	   0.00000	   0.00000	   3.30910	 268.40498	 312.70451
  4	 21	 132.20926	   0.00000	   0.00000	   3.30910	 267.72762	 311.25313
  4	 20	 131.86974	   0.00000	   0.00000	   3.30910	 267.04859	 309.83867
  4	 19	 131.53110	   0.00000	   0.00000	   3.30910	 266.37130	 308.46658
  4	 18	 131.19509	   0.00000	   0.00000	   3.30910	 265.69928	 307.14242
  4	 17	 130.86356	   0.00000	   0.00000	   3.30910	 265.03622	 305.87194
  4	 16	 130.53840	   0.00000	   0.00000	   3.30910	 264.38589	 304.66091
  4	 15	 130.22151	   0.00000	   0.00000	   3.30910	 263.75213	 303.51515
  4	 14	 129.91484	   0.00000	   0.00000	   3.30910	 263.13878	 302.44043
  4	 13	 129.62030	   0.00000	   0.00000	   3.30910	 262.54970	 301.44238
  4	 12	 129.33978	   0.00000	   0.00000	   3.30910	 261.98867	 300.52647
  4	 11	 129.07515	   0.00000	   0.00000	   3.30910	 261.45940	 299.69791
  4	 10	 128.82817	   0.00000	   0.00000	   3.30910	 260.96545	 298.96157
  4	  9	 128.60055	   0.00000	   0.00000	   3.30910	 260.51021	 298.32194
